,customer_number,offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_your_home,average_balance,q1_balance,q2_balance,q3_balance,q4_balance
928,929,No,Points,Postcard,Low,1,No,High,2,1,4,No,206.75,190.0,370.0,263.0,4.0
929,930,No,Air Miles,Postcard,Low,2,Yes,Low,2,1,4,No,1283.0,295.0,1108.0,1965.0,1764.0
930,931,No,Points,Letter,Low,1,Yes,Low,1,1,3,Yes,913.0,1508.0,1379.0,597.0,168.0
931,932,No,Cash Back,Letter,Medium,1,Yes,High,1,1,2,No,1132.25,642.0,852.0,1642.0,1393.0
932,933,No,Points,Postcard,Low,1,No,Medium,2,1,4,Yes,958.5,1702.0,1459.0,621.0,52.0
933,934,No,Cash Back,Letter,High,1,No,Low,1,1,4,No,316.25,453.0,21.0,486.0,305.0
934,935,No,Cash Back,Postcard,Medium,1,No,High,2,1,3,Yes,1086.75,504.0,1359.0,1091.0,1393.0
935,936,No,Air Miles,Letter,Medium,2,No,Medium,2,1,4,Yes,1238.75,967.0,1671.0,1902.0,415.0
936,937,No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,1284.75,1378.0,548.0,1576.0,1637.0
937,938,No,Cash Back,Letter,High,1,No,Medium,2,1,4,No,859.75,996.0,825.0,773.0,845.0
938,939,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,946.25,47.0,950.0,1506.0,1282.0
939,940,No,Cash Back,Postcard,Low,1,Yes,Low,1,1,5,Yes,690.25,624.0,504.0,672.0,961.0
940,941,No,Air Miles,Postcard,Low,1,No,High,3,1,3,Yes,1142.25,1869.0,1501.0,1052.0,147.0
941,942,No,Air Miles,Postcard,High,1,No,High,1,1,4,Yes,1359.5,953.0,1197.0,1271.0,2017.0
942,943,No,Cash Back,Letter,Medium,1,No,High,4,1,5,Yes,953.75,1648.0,975.0,449.0,743.0
943,944,No,Air Miles,Letter,Medium,1,No,High,2,1,5,Yes,1700.5,1675.0,1696.0,1693.0,1738.0
944,945,No,Points,Postcard,Medium,3,Yes,Medium,1,1,3,Yes,285.5,459.0,480.0,53.0,150.0
945,946,No,Cash Back,Letter,Medium,1,No,High,1,1,2,Yes,1140.0,914.0,738.0,1624.0,1284.0
946,947,No,Air Miles,Letter,Medium,2,No,Low,2,2,4,Yes,975.0,523.0,1258.0,1267.0,852.0
947,948,No,Cash Back,Postcard,Medium,1,No,Low,2,2,5,Yes,786.25,774.0,662.0,997.0,712.0
948,949,No,Points,Letter,Medium,1,No,High,1,1,1,Yes,782.0,686.0,619.0,929.0,894.0
949,950,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1012.5,1919.0,1332.0,550.0,249.0
950,951,No,Air Miles,Letter,Medium,1,No,High,3,2,4,Yes,754.25,806.0,977.0,576.0,658.0
951,952,No,Air Miles,Letter,Medium,1,No,Low,2,1,5,Yes,1302.25,2047.0,1477.0,1348.0,337.0
952,953,No,Air Miles,Postcard,High,1,No,Low,3,1,3,Yes,1116.25,1269.0,1524.0,816.0,856.0
953,954,No,Cash Back,Letter,Medium,1,No,Low,4,1,2,No,1245.75,30.0,1110.0,2088.0,1755.0
954,955,No,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,775.75,514.0,682.0,972.0,935.0
955,956,No,Cash Back,Postcard,High,1,No,Medium,2,2,4,Yes,1073.75,387.0,1055.0,1213.0,1640.0
956,957,No,Air Miles,Letter,High,1,Yes,High,3,1,4,No,1175.75,945.0,680.0,943.0,2135.0
957,958,No,Cash Back,Postcard,Medium,2,No,High,1,2,5,No,1120.25,1850.0,1174.0,690.0,767.0
958,959,No,Points,Letter,Medium,1,No,Medium,1,1,2,Yes,853.75,87.0,987.0,1560.0,781.0
959,960,No,Air Miles,Letter,High,1,No,Low,2,1,3,Yes,1006.75,1748.0,1326.0,504.0,449.0
960,961,No,Points,Postcard,Low,1,No,High,2,1,3,No,1045.25,1399.0,1193.0,1378.0,211.0
961,962,No,Cash Back,Letter,Medium,1,No,Low,2,1,4,No,319.5,439.0,391.0,388.0,60.0
962,963,No,Points,Letter,Low,2,No,Low,2,2,2,Yes,786.5,565.0,826.0,893.0,862.0
963,964,No,Air Miles,Postcard,High,1,Yes,Medium,2,1,3,Yes,988.0,1507.0,957.0,573.0,915.0
964,965,No,Air Miles,Postcard,High,2,No,Medium,2,1,3,Yes,1109.0,436.0,1323.0,1416.0,1261.0
965,966,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,854.25,763.0,993.0,986.0,675.0
966,967,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,1266.0,2082.0,1352.0,1033.0,597.0
967,968,No,Points,Letter,High,2,Yes,High,3,1,3,Yes,1018.0,116.0,1435.0,1243.0,1278.0
968,969,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,992.5,1975.0,1144.0,677.0,174.0
969,970,No,Air Miles,Letter,High,2,No,High,2,1,6,Yes,291.25,79.0,436.0,368.0,282.0
970,971,No,Cash Back,Postcard,Medium,2,Yes,High,1,2,3,Yes,1212.5,1476.0,1609.0,1195.0,570.0
971,972,No,Air Miles,Letter,Low,1,No,Medium,3,1,1,Yes,1228.25,1576.0,1129.0,1169.0,1039.0
972,973,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,2,Yes,1053.5,1790.0,1195.0,1096.0,133.0
973,974,No,Points,Letter,Medium,1,No,High,1,2,3,No,896.75,1579.0,1294.0,709.0,5.0
974,975,No,Points,Letter,Medium,1,No,Low,2,1,3,Yes,275.75,284.0,94.0,442.0,283.0
975,976,No,Air Miles,Postcard,Low,1,No,High,2,1,1,No,328.75,243.0,395.0,386.0,291.0
976,977,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,772.25,541.0,762.0,878.0,908.0
977,978,No,Points,Postcard,High,1,No,Medium,3,2,2,Yes,1032.5,325.0,1136.0,1153.0,1516.0
978,979,No,Points,Letter,Medium,1,No,High,1,2,5,No,1024.75,1542.0,1305.0,858.0,394.0
979,980,No,Points,Postcard,High,1,No,Medium,1,1,4,Yes,821.25,1530.0,1066.0,525.0,164.0
980,981,No,Points,Postcard,Medium,1,No,High,1,1,2,Yes,162.5,17.0,155.0,107.0,371.0
981,982,No,Cash Back,Letter,High,1,No,High,3,1,2,No,1168.0,589.0,924.0,1439.0,1720.0
982,983,No,Cash Back,Letter,Medium,1,No,Medium,2,2,3,Yes,1819.25,1939.0,1665.0,1750.0,1923.0
983,984,No,Points,Letter,High,1,No,Medium,2,1,5,No,1109.25,138.0,1607.0,1993.0,699.0
984,985,No,Points,Postcard,Low,2,No,High,1,1,3,Yes,1092.25,589.0,1435.0,1220.0,1125.0
985,986,No,Cash Back,Letter,Medium,2,No,Medium,2,1,5,Yes,1109.75,391.0,1761.0,1297.0,990.0
986,987,No,Points,Postcard,Low,1,Yes,High,1,2,3,Yes,234.5,489.0,159.0,87.0,203.0
987,988,No,Air Miles,Letter,High,2,No,Low,2,2,4,Yes,1046.5,1681.0,832.0,1012.0,661.0
988,989,No,Points,Letter,Medium,1,Yes,Low,1,1,3,Yes,1682.75,1715.0,1540.0,1639.0,1837.0
989,990,No,Cash Back,Letter,Low,1,No,Low,2,2,3,Yes,1462.5,2059.0,1707.0,1354.0,730.0
990,991,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,1157.75,1601.0,1291.0,972.0,767.0
991,992,Yes,Points,Postcard,Medium,1,No,Low,4,1,4,No,1294.5,748.0,1048.0,2111.0,1271.0
992,993,No,Cash Back,Letter,Medium,1,Yes,Low,2,1,4,No,1009.75,308.0,801.0,1455.0,1475.0
993,994,No,Points,Letter,Medium,1,Yes,High,3,1,5,Yes,880.0,1534.0,1182.0,542.0,262.0
994,995,No,Air Miles,Postcard,High,1,No,High,2,1,3,Yes,833.0,944.0,838.0,788.0,762.0
995,996,No,Air Miles,Postcard,Medium,2,No,High,1,1,4,Yes,219.5,426.0,129.0,210.0,113.0
996,997,No,Points,Letter,High,3,Yes,High,1,1,2,No,817.75,1627.0,1022.0,542.0,80.0
997,998,No,Air Miles,Postcard,Low,1,Yes,Low,1,1,3,Yes,1666.0,1296.0,1676.0,1925.0,1767.0
998,999,No,Points,Postcard,Medium,2,No,Low,3,1,2,No,334.75,283.0,107.0,499.0,450.0
999,1000,Yes,Points,Postcard,Medium,1,No,Low,3,1,4,Yes,996.75,305.0,1241.0,1084.0,1357.0
1000,1001,No,Points,Postcard,Medium,1,No,Low,3,1,3,Yes,832.75,970.0,966.0,789.0,606.0
1001,1002,No,Air Miles,Letter,High,1,No,Medium,3,1,2,Yes,944.0,932.0,998.0,941.0,905.0
1002,1003,No,Air Miles,Postcard,High,1,No,High,2,1,4,No,914.75,1687.0,1004.0,731.0,237.0
1003,1004,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,No,993.25,135.0,1664.0,826.0,1348.0
1004,1005,No,Air Miles,Postcard,Medium,1,No,High,2,1,2,Yes,1125.25,1985.0,1283.0,750.0,483.0
1005,1006,No,Cash Back,Postcard,Low,1,No,Medium,3,1,5,Yes,975.75,518.0,880.0,1689.0,816.0
1006,1007,No,Cash Back,Postcard,Medium,2,No,High,2,1,2,No,977.25,1671.0,1185.0,788.0,265.0
1007,1008,No,Air Miles,Postcard,Medium,1,No,High,1,1,2,No,869.5,86.0,511.0,1438.0,1443.0
1008,1009,No,Points,Letter,Medium,1,No,Medium,2,1,5,Yes,1062.25,1485.0,1154.0,1095.0,515.0
1009,1010,No,Cash Back,Postcard,Low,1,No,Medium,3,1,4,Yes,1200.25,941.0,1011.0,994.0,1855.0
1010,1011,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,No,1247.25,655.0,1598.0,1400.0,1336.0
1011,1012,No,Points,Letter,Low,2,No,Low,1,1,2,Yes,255.25,206.0,345.0,142.0,328.0
1012,1013,No,Cash Back,Letter,High,1,No,Low,2,1,5,Yes,1290.5,485.0,1254.0,1641.0,1782.0
1013,1014,No,Cash Back,Letter,Low,1,No,Medium,1,1,4,Yes,1163.5,518.0,1459.0,1711.0,966.0
1014,1015,No,Air Miles,Postcard,Medium,3,No,Low,3,1,2,No,1136.0,1450.0,1513.0,753.0,828.0
1015,1016,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,1060.0,1934.0,1287.0,811.0,208.0
1016,1017,No,Air Miles,Letter,Medium,1,No,Low,3,1,5,Yes,936.0,927.0,916.0,978.0,923.0
1017,1018,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1102.0,1225.0,1432.0,766.0,985.0
1018,1019,No,Cash Back,Postcard,High,2,No,Low,2,1,4,No,851.0,346.0,556.0,831.0,1671.0
1019,1020,No,Points,Postcard,Medium,2,No,Medium,1,1,3,Yes,1471.25,402.0,1806.0,2069.0,1608.0
1020,1021,No,Cash Back,Letter,Low,1,Yes,Medium,1,1,2,No,785.5,856.0,809.0,880.0,597.0
1021,1022,No,Cash Back,Postcard,Low,1,Yes,Medium,1,2,3,No,736.75,922.0,685.0,530.0,810.0
1022,1023,No,Air Miles,Letter,Medium,2,No,High,2,1,3,No,305.75,403.0,419.0,298.0,103.0
1023,1024,No,Air Miles,Postcard,Medium,2,No,High,1,1,4,Yes,1033.75,894.0,696.0,2043.0,502.0
1024,1025,No,Air Miles,Letter,Medium,1,Yes,Low,3,1,3,No,856.75,1545.0,1219.0,417.0,246.0
1025,1026,No,Points,Postcard,Medium,1,Yes,Low,2,1,3,Yes,933.25,1760.0,1038.0,877.0,58.0
1026,1027,No,Points,Letter,Medium,1,No,Low,2,1,4,Yes,1134.5,1927.0,832.0,790.0,989.0
1027,1028,No,Points,Letter,Medium,1,No,Low,1,2,2,Yes,157.0,217.0,145.0,242.0,24.0
1028,1029,No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,Yes,1484.25,1337.0,1830.0,2132.0,638.0
1029,1030,No,Cash Back,Postcard,Medium,2,No,Medium,2,1,2,Yes,1058.25,540.0,1097.0,1090.0,1506.0
1030,1031,No,Air Miles,Letter,Medium,1,Yes,Medium,3,1,2,Yes,247.75,322.0,237.0,119.0,313.0
1031,1032,No,Cash Back,Letter,High,1,No,Low,2,2,3,Yes,1688.75,1534.0,1760.0,1946.0,1515.0
1032,1033,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1134.75,874.0,776.0,1508.0,1381.0
1033,1034,No,Cash Back,Letter,High,1,No,Medium,1,1,4,Yes,1104.25,1889.0,1408.0,936.0,184.0
1034,1035,No,Air Miles,Letter,Low,2,No,High,2,2,2,Yes,1253.0,916.0,528.0,1620.0,1948.0
1035,1036,No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,1135.25,766.0,643.0,2021.0,1111.0
1036,1037,No,Air Miles,Letter,High,2,No,Medium,1,1,3,No,979.0,1575.0,1318.0,606.0,417.0
1037,1038,No,Cash Back,Letter,Low,2,No,High,2,1,3,No,956.0,1781.0,1225.0,563.0,255.0
1038,1039,No,Air Miles,Letter,Low,2,No,Low,1,1,3,No,755.75,77.0,827.0,871.0,1248.0
1039,1040,No,Air Miles,Postcard,Low,2,No,Medium,2,2,5,Yes,1261.75,775.0,1324.0,1611.0,1337.0
1040,1041,No,Air Miles,Letter,High,1,No,Low,2,1,3,No,798.75,851.0,595.0,960.0,789.0
1041,1042,No,Cash Back,Postcard,Medium,1,No,High,2,1,3,Yes,985.5,776.0,525.0,1881.0,760.0
1042,1043,No,Points,Letter,Medium,1,No,High,2,2,3,Yes,1235.25,2141.0,1358.0,960.0,482.0
1043,1044,No,Points,Letter,Medium,1,No,High,2,1,2,No,1418.25,1360.0,1360.0,2117.0,836.0
1044,1045,No,Points,Letter,Medium,1,No,Low,2,1,3,No,1794.25,1631.0,1896.0,1890.0,1760.0
1045,1046,No,Air Miles,Postcard,Low,1,No,Low,3,3,5,Yes,767.75,945.0,961.0,544.0,621.0
1046,1047,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,1,1,3,Yes,808.0,925.0,829.0,894.0,584.0
1047,1048,No,Points,Postcard,Medium,1,No,High,2,1,3,Yes,270.25,255.0,223.0,436.0,167.0
1048,1049,No,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,697.25,584.0,976.0,579.0,650.0
1049,1050,No,Cash Back,Letter,Medium,1,No,High,2,1,4,Yes,1058.5,387.0,1189.0,911.0,1747.0
1050,1051,No,Cash Back,Letter,Medium,1,No,High,1,2,3,No,1024.75,1592.0,1291.0,865.0,351.0
1051,1052,No,Points,Postcard,Medium,1,No,High,2,1,4,Yes,1070.0,1882.0,1193.0,843.0,362.0
1052,1053,No,Air Miles,Postcard,Medium,1,Yes,Medium,2,1,4,Yes,178.0,146.0,2.0,490.0,74.0
1053,1054,No,Air Miles,Letter,Medium,1,No,Low,3,1,3,Yes,653.25,614.0,791.0,541.0,667.0
1054,1055,No,Cash Back,Postcard,High,1,No,Low,1,1,3,Yes,303.5,74.0,493.0,439.0,208.0
1055,1056,No,Cash Back,Letter,Medium,1,No,Medium,1,1,2,Yes,211.75,286.0,78.0,270.0,213.0
1056,1057,No,Air Miles,Letter,Low,1,No,Medium,1,1,4,Yes,1095.75,1929.0,1396.0,958.0,100.0
1057,1058,No,Cash Back,Letter,High,1,Yes,Low,2,1,3,Yes,1107.75,2179.0,1164.0,530.0,558.0
1058,1059,No,Points,Postcard,High,1,No,High,3,2,2,Yes,623.25,681.0,556.0,730.0,526.0
1059,1060,No,Air Miles,Letter,Medium,1,No,Low,2,1,5,No,830.0,842.0,846.0,657.0,975.0
1060,1061,No,Points,Letter,Medium,1,No,High,2,1,4,Yes,1224.5,930.0,721.0,1586.0,1661.0
1061,1062,No,Air Miles,Postcard,High,1,No,Medium,2,1,4,Yes,1070.0,921.0,579.0,1757.0,1023.0
1062,1063,Yes,Air Miles,Postcard,High,1,Yes,Low,1,1,4,Yes,1069.75,738.0,846.0,1911.0,784.0
1063,1064,No,Cash Back,Postcard,High,1,No,Low,3,1,2,Yes,858.25,182.0,1106.0,1604.0,541.0
1064,1065,No,Air Miles,Postcard,High,1,No,Medium,2,1,4,Yes,1234.0,1840.0,1351.0,713.0,1032.0
1065,1066,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,6,Yes,1027.5,209.0,419.0,1383.0,2099.0
1066,1067,Yes,Points,Letter,Low,2,Yes,Low,1,1,6,No,1105.0,1313.0,1794.0,801.0,512.0
1067,1068,No,Air Miles,Postcard,Low,1,No,Medium,1,1,4,No,1450.0,712.0,1495.0,1896.0,1697.0
1068,1069,No,Points,Letter,Medium,1,No,Low,2,1,4,No,721.75,503.0,877.0,527.0,980.0
1069,1070,No,Cash Back,Postcard,High,1,No,Low,2,1,3,No,935.25,346.0,480.0,1286.0,1629.0
1070,1071,No,Air Miles,Postcard,High,1,No,High,2,1,2,Yes,1116.5,1289.0,983.0,1386.0,808.0
1071,1072,No,Air Miles,Letter,Medium,1,No,Low,2,1,5,No,1173.25,658.0,1694.0,1564.0,777.0
1072,1073,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,1440.25,1120.0,1594.0,1752.0,1295.0
1073,1074,No,Cash Back,Letter,Low,2,No,High,2,1,1,Yes,1090.25,190.0,1838.0,1905.0,428.0
1074,1075,No,Air Miles,Letter,Medium,1,No,Low,3,1,3,Yes,807.5,692.0,793.0,831.0,914.0
1075,1076,No,Points,Postcard,Medium,1,Yes,Low,4,1,3,Yes,227.75,459.0,16.0,91.0,345.0
1076,1077,No,Cash Back,Postcard,High,1,No,High,2,1,2,No,1192.25,1264.0,1731.0,1123.0,651.0
1077,1078,No,Cash Back,Postcard,Low,1,No,Low,2,1,5,No,221.0,133.0,83.0,500.0,168.0
1078,1079,No,Cash Back,Letter,Low,3,No,Low,1,1,3,No,946.0,1687.0,938.0,574.0,585.0
1079,1080,No,Points,Letter,Low,1,No,Medium,2,2,2,Yes,1078.25,1419.0,1293.0,1095.0,506.0
1080,1081,No,Cash Back,Letter,Medium,2,No,Medium,1,2,2,Yes,241.75,406.0,84.0,160.0,317.0
1081,1082,No,Points,Letter,Medium,1,No,Medium,4,1,4,No,1202.25,982.0,905.0,2111.0,811.0
1082,1083,No,Air Miles,Letter,Medium,2,No,Medium,4,1,3,Yes,345.25,365.0,460.0,142.0,414.0
1083,1084,No,Cash Back,Letter,Medium,1,No,Low,3,1,4,Yes,1193.75,981.0,1018.0,1096.0,1680.0
1084,1085,No,Cash Back,Letter,High,1,No,High,2,1,4,No,1228.0,126.0,811.0,1778.0,2197.0
1085,1086,No,Air Miles,Postcard,Low,1,No,Medium,3,1,3,No,1051.75,687.0,1132.0,1909.0,479.0
1086,1087,No,Points,Letter,Low,1,No,High,1,1,5,Yes,1024.25,357.0,883.0,1022.0,1835.0
1087,1088,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,1225.25,613.0,1363.0,2184.0,741.0
1088,1089,No,Points,Postcard,High,1,No,Low,2,2,3,Yes,1172.75,1918.0,1365.0,994.0,414.0
1089,1090,No,Air Miles,Postcard,Medium,2,Yes,Low,1,1,3,No,1190.25,1982.0,1365.0,855.0,559.0
1090,1091,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,1827.0,1715.0,1952.0,1914.0,1727.0
1091,1092,No,Points,Letter,Medium,1,No,Medium,2,1,1,No,1164.5,635.0,1263.0,980.0,1780.0
1092,1093,No,Points,Letter,Medium,2,Yes,High,3,1,3,Yes,993.0,1295.0,1356.0,838.0,483.0
1093,1094,No,Cash Back,Postcard,Low,2,No,High,3,2,3,Yes,693.5,783.0,535.0,927.0,529.0
1094,1095,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,1029.5,521.0,1701.0,1483.0,413.0
1095,1096,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1118.0,631.0,649.0,1699.0,1493.0
1096,1097,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,122.0,206.0,3.0,71.0,208.0
1097,1098,No,Points,Postcard,High,1,No,Medium,2,2,2,Yes,774.5,57.0,1172.0,1341.0,528.0
1098,1099,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,775.75,61.0,1300.0,1286.0,456.0
1099,1100,No,Points,Letter,High,1,No,Low,1,2,2,Yes,1114.0,1963.0,1442.0,751.0,300.0
1100,1101,No,Points,Postcard,Low,1,No,Medium,1,1,6,Yes,954.0,1731.0,1255.0,519.0,311.0
1101,1102,No,Cash Back,Letter,High,1,Yes,Low,2,1,3,No,764.75,781.0,985.0,501.0,792.0
1102,1103,No,Points,Letter,Low,1,No,Medium,2,1,2,No,1006.0,1675.0,1387.0,792.0,170.0
1103,1104,No,Cash Back,Letter,High,1,No,Medium,2,1,3,No,860.5,1733.0,1035.0,634.0,40.0
1104,1105,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1185.0,664.0,679.0,1482.0,1915.0
1105,1106,No,Points,Letter,Medium,1,Yes,Low,1,1,4,No,1149.0,1384.0,1062.0,1302.0,848.0
1106,1107,No,Points,Postcard,Medium,1,No,High,2,1,4,Yes,926.75,175.0,927.0,1394.0,1211.0
1107,1108,No,Points,Postcard,Medium,1,No,High,2,1,5,Yes,168.5,15.0,320.0,14.0,325.0
1108,1109,No,Points,Postcard,High,1,No,Medium,2,1,2,Yes,296.75,288.0,22.0,466.0,411.0
1109,1110,No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,No,1035.25,1350.0,1521.0,1102.0,168.0
1110,1111,No,Points,Letter,Medium,1,No,Low,1,1,1,Yes,1224.25,958.0,1232.0,1365.0,1342.0
1111,1112,No,Points,Letter,High,1,Yes,Medium,2,1,4,No,854.25,585.0,783.0,815.0,1234.0
1112,1113,No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,1084.0,1931.0,1388.0,729.0,288.0
1113,1114,No,Cash Back,Letter,Medium,1,Yes,Medium,2,1,4,Yes,872.25,329.0,623.0,1577.0,960.0
1114,1115,No,Points,Letter,Medium,1,No,Medium,2,2,4,Yes,1005.0,467.0,1330.0,845.0,1378.0
1115,1116,No,Points,Postcard,Low,1,No,Medium,1,2,3,Yes,880.75,742.0,974.0,917.0,890.0
1116,1117,No,Points,Postcard,Low,2,No,High,1,1,3,No,1243.75,995.0,997.0,1592.0,1391.0
1117,1118,No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,1103.5,903.0,1099.0,1794.0,618.0
1118,1119,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,2,No,815.5,124.0,1040.0,914.0,1184.0
1119,1120,No,Air Miles,Postcard,Medium,1,No,High,2,1,6,Yes,1039.25,1777.0,994.0,427.0,959.0
1120,1121,No,Air Miles,Postcard,Low,1,No,High,1,1,4,Yes,214.75,257.0,95.0,309.0,198.0
1121,1122,No,Points,Letter,Low,1,Yes,Low,2,1,4,Yes,1034.25,400.0,1798.0,1005.0,934.0
1122,1123,No,Cash Back,Postcard,Medium,2,No,High,2,1,4,Yes,1279.0,2174.0,1434.0,1210.0,298.0
1123,1124,No,Air Miles,Postcard,High,1,Yes,High,2,1,2,Yes,1200.5,1112.0,1090.0,1098.0,1502.0
1124,1125,No,Air Miles,Letter,Low,1,No,Medium,1,1,4,Yes,1079.5,628.0,1467.0,946.0,1277.0
1125,1126,No,Air Miles,Postcard,Medium,2,No,High,2,1,5,Yes,1142.25,1977.0,1275.0,934.0,383.0
1126,1127,No,Points,Postcard,Medium,1,No,High,2,1,2,No,1062.5,1717.0,1310.0,880.0,343.0
1127,1128,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,1239.25,694.0,1514.0,1799.0,950.0
1128,1129,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,2,Yes,1149.25,323.0,612.0,1699.0,1963.0
1129,1130,No,Air Miles,Postcard,High,1,Yes,Medium,2,2,5,Yes,1327.75,867.0,1420.0,1694.0,1330.0
1130,1131,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,862.75,1337.0,1063.0,970.0,81.0
1131,1132,No,Cash Back,Letter,Low,1,Yes,High,1,1,3,Yes,1118.0,418.0,1044.0,1753.0,1257.0
1132,1133,No,Cash Back,Postcard,High,1,No,High,2,1,2,Yes,1201.0,1309.0,473.0,1525.0,1497.0
1133,1134,No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1131.0,200.0,1142.0,1488.0,1694.0
1134,1135,No,Points,Letter,Medium,1,No,Low,1,1,2,No,1813.0,1901.0,1947.0,1771.0,1633.0
1135,1136,No,Air Miles,Letter,Medium,1,No,Low,1,2,3,Yes,213.25,106.0,228.0,368.0,151.0
1136,1137,No,Air Miles,Postcard,High,1,No,Low,1,2,4,No,1045.5,1582.0,1584.0,639.0,377.0
1137,1138,No,Cash Back,Letter,Medium,1,No,High,1,1,5,Yes,1030.25,126.0,865.0,1200.0,1930.0
1138,1139,No,Points,Postcard,Medium,1,No,High,2,1,1,No,1838.25,1655.0,1738.0,1986.0,1974.0
1139,1140,No,Cash Back,Letter,Medium,1,No,Medium,1,2,4,No,1092.75,1046.0,458.0,2108.0,759.0
1140,1141,No,Points,Letter,Medium,1,No,Low,1,1,3,Yes,185.25,320.0,2.0,169.0,250.0
1141,1142,No,Points,Letter,Medium,1,No,Low,4,1,4,No,1102.0,1032.0,1444.0,820.0,1112.0
1142,1143,No,Points,Postcard,Medium,1,Yes,Medium,2,1,2,Yes,1032.75,474.0,1166.0,1133.0,1358.0
1143,1144,No,Points,Letter,High,1,No,Medium,1,1,5,No,1065.75,894.0,584.0,1225.0,1560.0
1144,1145,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,1070.0,1870.0,1468.0,676.0,266.0
1145,1146,No,Cash Back,Postcard,Medium,1,No,High,2,2,2,No,1302.0,828.0,1220.0,1006.0,2154.0
1146,1147,No,Cash Back,Letter,High,2,No,High,1,1,3,Yes,1330.0,1490.0,1278.0,1445.0,1107.0
1147,1148,No,Air Miles,Postcard,Medium,1,No,High,2,1,2,Yes,883.0,1642.0,1070.0,742.0,78.0
1148,1149,No,Air Miles,Postcard,Medium,2,Yes,Medium,1,1,4,No,206.25,67.0,172.0,429.0,157.0
1149,1150,No,Cash Back,Letter,Medium,2,No,Low,2,1,4,No,1111.5,96.0,1358.0,1888.0,1104.0
1150,1151,No,Cash Back,Postcard,High,2,No,High,2,2,4,Yes,1056.25,870.0,678.0,1378.0,1299.0
1151,1152,No,Points,Postcard,Low,1,Yes,Medium,1,2,4,No,214.25,204.0,92.0,428.0,133.0
1152,1153,No,Cash Back,Letter,Medium,1,Yes,High,1,1,4,Yes,1186.0,2169.0,927.0,795.0,853.0
1153,1154,No,Air Miles,Postcard,Medium,2,No,High,1,2,4,Yes,952.0,1752.0,1167.0,615.0,274.0
1154,1155,No,Cash Back,Postcard,Low,2,Yes,Low,2,1,2,Yes,962.75,856.0,1126.0,1423.0,446.0
1155,1156,No,Air Miles,Letter,High,1,No,Low,1,1,2,No,1042.5,1980.0,1164.0,881.0,145.0
1156,1157,No,Points,Letter,Medium,1,Yes,Medium,2,1,5,Yes,1706.5,1613.0,1644.0,1933.0,1636.0
1157,1158,No,Points,Postcard,Medium,1,No,High,2,2,2,Yes,1113.75,283.0,1308.0,2002.0,862.0
1158,1159,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,570.0,646.0,527.0,586.0,521.0
1159,1160,No,Points,Postcard,Medium,1,Yes,High,2,2,2,No,970.25,595.0,694.0,1266.0,1326.0
1160,1161,No,Points,Postcard,Low,2,No,Medium,2,2,3,Yes,995.25,1862.0,1040.0,694.0,385.0
1161,1162,No,Air Miles,Postcard,Medium,1,No,Low,2,2,3,Yes,909.75,512.0,451.0,959.0,1717.0
